Name,Question,Type,Good,Answer1,Answer2,Answer3,Answer4
Histoire,En quelle année a eu lieu la découverte de l'Amérique ?,2,3,1482,1486,1492,1498
Histoire,Quelle était la monnaie utilisée en Espagne avant l'euro ?,2,1,La peseta,L'escudo,Le dollar,La lire
Histoire,Quel explorateur est en charge du premier tour du monde ?,2,3,Vasco de Gama,James Cook,Magellan,Marco Polo
Histoire,Sur quelle île ont-ils emprisonné Napoléon après avoir perdu la bataille de Waterloo ?,2,4,Saint-Pierre-et-Miquelon,Îles Canaries,Île de Ré,Sainte-Hélène
Histoire,Laquelle de ces inventions est la plus ancienne ?,2,3,La machine à additionner,Le sous-marin,La lunette astronomique,L'hélice
Histoire,Qui est l'inventeur de la dynamite ?,2,2,Thomas Edison,Alfred Nobel,Samuel Colt,Nicolas Tesla
Histoire,Quelle est l'année de l'invention de l'escalator ?,2,2,1852,1892,1920,1963
Histoire,Qui est l'inventeur de l'imprimerie ?,2,3,Nicolas Copernic,Johannes Kepler,Johannes Gutenberg,Martin Luther
Histoire,En quelle année la télévision couleur est-elle inventée ?,2,1,1950,1960,1970,1980
Histoire,Quelle invention est la plus récente ?,2,3,Le camion frigorifique,La caisse enregistreuse,L'avion,La bouteille Thermos
Histoire,Laquelle de ces inventions a vu le jour en premier ?,2,4,Le SMS,Le Viagra,Le baladeur MP3,La Game Boy
Histoire,Laquelle de ces inventions n'est pas française ?,2,4,La carte à puce,Le projecteur de cinéma,Le béton armé,Le four à micro-ondes
Histoire,Quel président des États-Unis d'Amérique a été élu le plus jeune ?,2,3,Barack Obama,George W. Bush,John F. Kennedy,Joe Biden
Histoire,Quel président américain est à l'origine de l'abolition de l'esclavage en 1865 ?,2,2,Benjamin Harrison, Abraham Lincoln,Theodore Roosevelt,James Buchanan
Histoire,Quel président des USA est un ancien gouverneur du Texas ?,2,1,George W. Bush,Bill Clinton,Lyndon B. Johnson,Richard Nixon
Histoire,Quel président américain démissionne suite au scandale du Watergate ?,2,2,Franklin D. Roosevelt,Richard Nixon,Gerald Ford,George H. W. Bush
Histoire,Quelle invention doit-on à Louis Pasteur ?,2,4,Le principe de vaccin,Le vaccin BCG,Le vaccin contre la variole,Le vaccin contre la rage
Histoire,Laquelle de ces inventions est française ?,2,1,Le bateau à vapeur,Le paratonnerre,Le morse,Le pneu
Histoire,En quelle année le français Joseph Cugnot met-il au point l'invention de l'automobile ?,2,1,1770,1800,1830,1860
Histoire,De quel pays est originaire la bombe atomique ?,2,3,Russie,Chine,États-Unis,Allemagne
Histoire,Qui est l'inventeur du téléphone ?,2,4,William Crookes,Albert Black Dick,Charles Goodyear,Alexander Graham Bell
Histoire,Qui est le dieu du soleil de la mythologie égyptienne ?,2,3,Horus,Osiris,Rê,Anubis
Histoire,Combien d'années a duré la guerre de Cent Ans ?,2,3,100 ans,110 ans,116 ans,126 ans
Histoire,En quelle année se déroule la première élection présidentielle de France ?,2,2,1809,1848,1883,1907
Histoire,Quel est le nom de la bataille navale de 1805 ?,2,1,Bataille de Trafalgar,Bataille d'Ouessant,Bataille du Jutland,Bataille de Copenhague
Histoire,Quand l'ONU a-t-elle été créée ?,2,3,1925,1935,1945,1955
Histoire,Combien de temps a duré la Deuxième République Espagnole ?,2,4,6 mois,2 ans,5 ans,8 ans
Histoire,Dans quelle ville vivait Marco Polo ?,2,3,Rome,Florence,Venise,Pise
Histoire,En quelle année la Slovénie est-elle devenue indépendante de la Yougoslavie ?,2,2,1989,1991,1999,2002
Histoire,Quel président a eu le mandat le plus long ?,2,1,François Mitterand,Charles de Gaulle,Georges Pompidou,Jean Casimir-Perier
Histoire,Jules César donne son nom au mois de juillet. Oui ou non ?,1,1,Oui,Non,,
Histoire,En quelle année l'humanité a-t-elle posé le pied sur la Lune pour la première fois à bord du vaisseau spatial Apollo 11 ?,2,3,1960,1965,1969,1973
Histoire,Un philosophe grec considérait l'eau comme un élément intégré dans toutes choses. Quel était son nom ?,2,1,Thalès de Milet,Platon,Pythagore,Ératosthène de Cyrène
Histoire,"Le Mozambique a été colonisé par un pays européen, lequel ?",2,2,France,Portugal,Royaume-Uni,Espagne
Histoire,"En France, qui remplace le président de la République en cas de décès ou démission ?",2,1,Le président du Sénat,Le président de l'Assemblée Nationale,Le Premier Ministre,Le ministre de l'Intérieur
